*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hotspot-1d-shield
*Date=15:39:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;30.5562;-51.7769;0;Bottom;Copper Fill63
103;;;57.5056;-1.73888;0;Bottom;Copper Fill30
104;;;6.53726;-5.57304;0;Bottom;IMG3
105;;;42.2656;-1.73888;0;Bottom;Copper Fill26
106;;;6.7056;-51.5102;0;Bottom;Copper Fill41
107;;;49.8602;-51.7769;0;Bottom;Copper Fill12
108;;PG203J [THT];64.866;-32.5904;-180;Bottom;TRS1
109;;;7.5565;-52.2849;0;Bottom;Copper Fill39
110;;;38.2778;-17.9314;0;Bottom;Copper Fill38
111;;;44.7421;-35.3685;0;Bottom;Copper Fill36
112;;;64.2874;-5.57428;0;Bottom;Copper Fill80
113;;;14.8844;-51.5102;0;Bottom;Copper Fill49
114;;;58.7611;-16.0804;0;Bottom;TMP00x
115;;;40.767;-47.6367;0;Bottom;Copper Fill75
116;;;21.0693;-41.7439;0;Bottom;Copper Fill43
117;;;32.1056;-1.73888;0;Bottom;Copper Fill22
118;;;62.5602;-51.7769;0;Bottom;Copper Fill17
119;;;52.4002;-51.7769;0;Bottom;Copper Fill70
120;;;44.7421;-37.0703;0;Bottom;Copper Fill35
121;;;33.0962;-51.7769;0;Bottom;Copper Fill7
122;;;40.9321;-1.86588;0;Bottom;Copper Fill102
123;;;46.4566;-48.5765;0;Bottom;Copper Fill19
124;;;43.4721;-1.86588;0;Bottom;Copper Fill56
125;;;33.0962;-51.7769;0;Bottom;Copper Fill64
126;;;22.08;-24.0483;90;Bottom;MicroSD
127;;;35.6362;-51.7769;0;Bottom;Copper Fill65
128;;[THT];10.8511;-49.2086;0;Bottom;RESET
129;;;30.5562;-51.7769;0;Bottom;Copper Fill6
